team_name,common_name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Asante Kotoko FC,Asante Kotoko,2025/2026,Ghana,31,15,16,0,11,8,3,10,5,5,10,2,8,1.39,1.93,0.88,15,15,6,15,36,27,9,63,36,27,27,9,9,18,18,-9,78,50,161,103,150,80,17,9,8,9,5,4,13,4,9,14,9,5,134,75,59,30,15,15,54,55,53,305,196,109,124,78,46,181,118,63,385,198,187,16,12,4,18,5,13,-2,7,-9,9,7,2,13,6,7,9,2,7,1.29,1.8,0.81,2.03,2.4,1.69,1.16,1.8,0.56,0.87,0.6,1.13,1.1,1.13,1.06,0.52,0.8,0.25,0.58,0.33,0.81,23,18,12,6,2,2,12,10,7,3,2,2,11,8,5,3,0,0,8,13,19,25,29,29,3,5,8,12,13,13,5,8,11,13,16,16,74,58,39,19,6,6,80,67,47,20,13,13,69,50,31,19,0,0,26,42,61,81,94,94,20,33,53,80,87,87,31,50,69,81,100,100,19,9,5,10,4,2,9,5,3,61,29,16,67,27,13,56,31,19,35,53,19,43,55,60,50,29,33,25,42,27,56,45,60,31,20,11,9,65,73,56,20,7,13,65,47,81,3,2,1,10,13,6,29,47,13,42,40,44,29,13,44,4.96,5.00,4.92,1.25,1.07,1.50,81,67,48,41,26,11,11,11,1.43,1.56,1.27,1.21,1.19,1.24,39,3,3,4,3,4,5,4,3,7,2,6,3,4,5,3,1,2,1,32,33,31,32,13,50,7
Bechem United FC,Bechem United,2025/2026,Ghana,33,17,16,0,12,10,2,8,5,3,13,2,11,1.33,2.06,0.56,14,9,15,14,35,39,-4,74,26,48,19,16,7,32,12,-16,85,80,90,76,220,45,14,12,2,15,5,10,10,4,6,18,12,6,96,42,54,38,14,24,50,53,49,183,72,111,48,18,30,135,54,81,57,28,29,22,12,10,21,2,19,1,10,-9,10,7,3,15,10,5,8,0,8,1.36,1.82,0.88,2.24,1.53,3,1.06,1.12,1,1.18,0.41,2,1.3,0.82,1.81,0.67,0.71,0.63,0.64,0.12,1.19,27,21,15,6,4,1,13,8,4,1,0,0,14,13,11,5,4,1,6,12,18,27,29,32,4,9,13,16,17,17,2,3,5,11,12,15,82,64,45,18,12,3,76,47,24,6,0,0,88,81,69,31,25,6,18,36,55,82,88,97,24,53,76,94,100,100,12,19,31,69,75,94,20,15,8,8,4,2,12,11,6,61,45,24,47,24,12,75,69,38,36,59,13,36,42,71,13,45,29,63,30,24,38,55,71,38,21,15,6,64,88,38,17,9,8,52,53,50,8,2,6,24,12,38,30,41,19,45,59,31,24,0,50,5.05,6.00,4.50,1.65,1.27,2.00,84,74,63,42,42,16,16,16,1.21,1.34,1.13,1.24,0.83,1.48,55,3,3,10,3,3,2,5,3,3,4,5,3,3,7,6,3,0,8,24,29,19,39,12,69,5
Hearts of Oak SC,Hearts of Oak,2025/2026,Ghana,33,16,17,0,13,6,7,15,10,5,5,0,5,1.64,1.75,1.53,3,16,1,3,25,14,11,39,19,20,13,12,6,8,7,4,118,111,127,214,237,191,24,13,11,5,3,2,17,8,9,14,7,7,149,94,55,17,10,7,50,52,49,236,133,103,97,60,37,139,73,66,376,172,204,11,6,5,5,2,3,6,4,2,11,6,5,19,9,10,3,1,2,1.58,1.69,1.47,1.18,1.19,1.18,0.76,0.81,0.71,0.42,0.38,0.47,0.48,0.5,0.47,0.33,0.38,0.29,0.15,0.13,0.18,20,8,6,3,1,1,8,3,3,3,1,1,12,5,3,0,0,0,13,25,27,30,32,32,8,13,13,13,15,15,5,12,14,17,17,17,61,24,18,9,3,3,50,19,19,19,6,6,71,29,18,0,0,0,39,76,82,91,97,97,50,81,81,81,94,94,29,71,82,100,100,100,14,2,0,7,1,0,7,1,0,42,6,0,44,6,0,41,6,0,39,38,41,9,73,81,65,15,19,12,52,50,53,42,44,41,30,15,15,91,94,88,22,10,12,67,63,71,0,0,0,0,0,0,33,38,29,58,56,59,9,6,12,4.97,5.88,3.93,0.61,0.71,0.50,63,47,43,40,23,20,10,10,1.31,1.54,1.07,1.09,0.90,1.30,18,3,4,0,2,2,2,5,4,3,0,2,1,1,1,2,3,1,3,45,63,29,15,0,29,10
Berekum Chelsea FC,Berekum Chelsea,2025/2026,Ghana,34,17,17,0,14,12,2,8,3,5,12,2,10,1.47,2.29,0.65,6,4,9,6,35,33,2,68,33,35,23,12,10,23,13,-11,87,67,127,93,153,67,13,9,4,13,6,7,12,4,8,14,10,4,53,25,28,25,9,16,46,53,44,112,53,59,43,21,22,69,32,37,171,39,132,16,12,4,12,3,9,4,9,-5,11,8,3,16,9,7,6,0,6,1.48,1.94,1,2,1.94,2.06,1.03,1.35,0.71,0.97,0.59,1.35,0.85,0.88,0.81,0.48,0.71,0.25,0.36,0.18,0.56,30,21,11,5,1,0,15,10,5,2,1,0,15,11,6,3,0,0,4,13,23,29,33,34,2,7,12,15,16,17,2,6,11,14,17,17,88,62,32,15,3,0,88,59,29,12,6,0,88,65,35,18,0,0,12,38,68,85,97,100,12,41,71,88,94,100,12,35,65,82,100,100,20,7,1,10,4,1,10,3,0,61,21,3,59,24,6,63,19,0,41,71,12,35,38,53,24,38,35,41,35,24,47,41,59,24,23,14,9,70,82,56,19,7,12,58,41,75,4,3,1,12,18,6,33,47,19,48,53,44,18,0,38,3.53,5.00,2.80,1.67,1.29,2.00,67,67,60,40,27,7,7,7,1.15,1.63,0.91,1.16,1.00,1.23,44,0,4,4,5,5,1,7,3,3,4,3,1,2,4,4,4,4,7,24,18,29,35,12,59,7
Medeama SC,Medeama,2025/2026,Ghana,34,17,17,0,17,12,5,11,4,7,6,1,5,1.82,2.35,1.29,1,2,2,1,52,28,24,80,46,34,35,17,11,17,24,0,59,44,90,110,138,90,15,8,7,18,9,9,6,1,5,20,13,7,160,95,65,23,8,15,56,60,53,330,209,121,129,84,45,201,125,76,214,111,103,26,18,8,13,6,7,13,12,1,13,9,4,14,5,9,7,3,4,1.56,1.88,1.24,2.35,2.71,2,1.53,2.06,1,0.82,0.65,1,1.15,1.41,0.88,0.76,1.06,0.47,0.38,0.35,0.41,29,24,16,6,2,2,16,14,9,4,1,1,13,10,7,2,1,1,5,10,18,28,32,32,1,3,8,13,16,16,4,7,10,15,16,16,85,71,47,18,6,6,94,82,53,24,6,6,76,59,41,12,6,6,15,29,53,82,94,94,6,18,47,76,94,94,24,41,59,88,94,94,23,12,4,13,8,3,10,4,1,68,35,12,76,47,18,59,24,6,50,71,29,28,44,47,41,53,53,53,18,6,29,59,76,41,22,11,11,65,65,65,17,7,10,50,41,59,6,3,3,18,18,18,38,53,24,41,29,53,21,18,24,5.93,7.31,4.64,1,0.73,1.25,81,67,52,37,26,26,22,15,1.43,1.77,1.14,1.07,0.78,1.32,53,2,11,6,3,6,1,4,7,12,2,4,2,2,4,5,3,3,3,32,24,41,18,6,29,7
Dreams FC,Dreams,2025/2026,Ghana,33,17,16,0,15,12,3,7,2,5,11,3,8,1.58,2.24,0.88,4,5,4,4,48,31,17,79,44,35,32,16,12,19,20,-3,62,48,90,96,127,76,10,7,3,15,8,7,10,2,8,16,12,4,121,80,41,25,18,7,50,54,45,238,144,94,127,91,36,111,53,58,284,188,96,19,11,8,13,6,7,6,5,1,11,8,3,14,6,8,7,3,4,1.47,1.76,1.13,2.39,2.59,2.19,1.45,1.88,1,0.94,0.71,1.19,1,1,1,0.59,0.65,0.53,0.41,0.35,0.47,31,22,13,7,4,2,17,13,7,4,2,1,14,9,6,3,2,1,2,11,20,26,29,31,0,4,10,13,15,16,2,7,10,13,14,15,94,67,39,21,12,6,100,76,41,24,12,6,88,56,38,19,13,6,6,33,61,79,88,94,0,24,59,76,88,94,12,44,62,81,87,94,21,7,3,12,2,2,9,5,1,66,22,9,71,12,12,60,33,7,45,71,19,27,30,41,19,45,47,44,30,12,50,48,71,25,20,12,8,63,71,53,18,8,10,56,47,67,5,2,3,16,12,20,34,47,20,44,35,53,22,18,27,4.03,4.71,3.15,1.09,1.29,0.78,56,53,33,27,27,17,13,10,1.31,1.47,1.09,1.38,1.24,1.57,52,4,6,4,2,6,7,7,4,4,1,2,4,3,4,1,2,6,6,21,12,31,33,18,50,7
Heart of Lions FC,Heart of Lions,2025/2026,Ghana,34,17,17,0,12,11,1,9,2,7,13,4,9,1.32,2.06,0.59,12,8,12,12,36,33,3,69,28,41,22,14,6,27,16,-13,85,70,110,93,257,57,16,12,4,10,2,8,14,5,9,17,12,5,121,81,40,37,12,25,54,58,50,268,160,108,96,55,41,172,105,67,252,116,136,20,14,6,14,2,12,6,12,-6,11,9,2,12,5,7,10,2,8,1.36,2,0.76,2.03,1.65,2.41,1.06,1.29,0.82,0.97,0.35,1.59,1.03,1,1.06,0.61,0.88,0.35,0.42,0.13,0.71,28,17,14,6,2,1,15,7,5,1,0,0,13,10,9,5,2,1,6,17,20,28,32,33,2,10,12,16,17,17,4,7,8,12,15,16,82,50,41,18,6,3,88,41,29,6,0,0,76,59,53,29,12,6,18,50,59,82,94,97,12,59,71,94,100,100,24,41,47,71,88,94,23,9,2,11,4,1,12,5,1,70,27,6,69,25,6,71,29,6,35,65,6,43,47,71,24,29,12,47,41,29,53,50,71,29,21,14,7,64,88,41,19,7,12,58,44,71,3,0,3,9,0,18,33,56,12,36,31,41,30,13,47,4.84,6.23,3.33,1.68,1.2,2.08,60,56,32,32,16,16,4,0,1.44,1.74,1.20,1.19,1.01,1.34,62,0,5,3,8,5,2,0,5,5,1,2,3,3,5,5,3,5,6,26,12,41,38,24,53,0
Karela FC,Karela,2025/2026,Ghana,34,17,17,0,13,12,1,10,3,7,11,2,9,1.44,2.29,0.59,7,3,13,7,32,33,-1,65,32,33,23,9,9,24,14,-15,96,67,170,93,170,64,16,10,6,12,5,7,11,2,9,17,14,3,114,80,34,18,8,10,48,50,43,211,159,52,64,47,17,147,112,35,189,76,113,19,14,5,16,3,13,3,11,-8,9,8,1,18,8,10,7,1,6,1.32,1.88,0.76,1.91,1.88,1.94,0.94,1.35,0.53,0.97,0.53,1.41,1.03,1,1.06,0.56,0.82,0.29,0.47,0.18,0.76,29,18,9,5,3,1,17,9,3,2,1,0,12,9,6,3,2,1,5,16,25,29,31,33,0,8,14,15,16,17,5,8,11,14,15,16,85,53,26,15,9,3,100,53,18,12,6,0,71,53,35,18,12,6,15,47,74,85,91,97,0,47,82,88,94,100,29,47,65,82,88,94,20,12,2,11,6,0,9,6,2,59,35,6,65,35,0,53,35,12,38,71,6,45,47,59,35,35,29,41,32,12,53,50,82,18,23,14,9,68,82,53,19,7,12,56,41,71,6,2,4,18,12,24,26,47,6,53,47,59,21,6,35,4.38,5.00,3.40,0.86,0.73,1.00,77,54,38,35,23,15,8,8,0.97,1.04,0.85,1.00,0.69,1.56,35,2,6,4,2,5,2,2,5,4,1,6,3,5,3,1,4,7,3,29,18,41,32,12,53,4
Techiman Eleven Wonders FC,Eleven Wonders,2025/2026,Ghana,33,16,17,0,2,2,0,4,2,2,27,12,15,0.3,0.5,0.12,18,18,18,18,23,73,-50,96,41,55,11,12,30,43,-19,-31,129,130,127,41,48,36,4,3,1,13,5,8,18,9,9,8,3,5,67,40,27,0,0,0,48,52,43,142,77,65,50,27,23,92,50,42,161,141,20,8,3,5,33,15,18,-25,-12,-13,2,1,1,10,5,5,21,10,11,0.48,0.5,0.47,2.91,2.56,3.24,0.7,0.69,0.71,2.21,1.88,2.53,1.24,1.13,1.35,0.24,0.19,0.29,1,0.94,1.06,31,26,15,9,6,3,15,13,7,4,2,0,16,13,8,5,4,3,2,7,18,24,27,30,1,3,9,12,14,16,1,4,9,12,13,14,94,79,45,27,18,9,94,81,44,25,13,0,94,76,47,29,24,18,6,21,55,73,82,91,6,19,56,75,87,100,6,24,53,71,76,82,26,11,3,12,4,1,14,7,2,79,33,9,75,25,6,82,41,12,6,13,0,7,12,19,6,39,31,47,55,56,53,24,19,29,9,5,4,27,31,24,26,14,12,79,88,71,5,1,4,15,6,24,6,6,6,30,31,29,64,63,65,2.79,3.33,2.25,0,0,0.00,54,42,28,21,17,17,8,8,0.91,1.00,0.83,1.50,1.30,1.68,73,2,1,0,4,2,5,1,3,5,7,7,11,5,6,5,11,9,12,12,13,12,82,75,88,8
Gamba All Blacks,Gamba All Blacks,2025/2026,Ghana,34,17,17,0,12,8,4,9,7,2,13,2,11,1.32,1.82,0.82,11,14,5,11,34,31,3,65,31,34,21,13,10,21,11,-8,90,73,118,99,153,73,11,9,2,12,6,6,15,5,10,14,9,5,126,80,46,32,10,22,54,57,51,301,185,116,91,52,39,210,133,77,319,172,147,16,9,7,14,4,10,2,5,-3,10,6,4,15,8,7,9,3,6,1.32,1.53,1.12,1.91,1.82,2,1,1.24,0.76,0.91,0.59,1.24,0.88,0.76,1,0.47,0.53,0.41,0.41,0.24,0.59,30,19,9,3,2,1,14,10,3,1,1,1,16,9,6,2,1,0,4,15,25,31,32,33,3,7,14,16,16,16,1,8,11,15,16,17,88,56,26,9,6,3,82,59,18,6,6,6,94,53,35,12,6,0,12,44,74,91,94,97,18,41,82,94,94,94,6,47,65,88,94,100,20,7,2,9,3,1,11,4,1,59,21,6,53,18,6,65,24,6,35,47,24,30,32,53,12,35,35,35,44,29,59,41,53,29,23,13,10,68,76,59,23,11,12,68,65,71,2,1,1,6,6,6,29,35,24,44,47,41,26,18,35,4.50,5.71,3.29,1.39,0.83,2.00,64,54,43,32,25,14,11,7,1.27,1.48,1.06,1.20,0.94,1.46,35,2,2,5,4,6,2,3,4,6,1,1,4,2,7,4,3,3,6,26,41,12,38,12,65,4
